"Dirección","Repeticiones","Indexabilidad","Estado de indexabilidad","Elemento de enlace canónico 1","Canonical HTTP","Meta robots 1","X-Robots-Tag 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"https://fletespro.cl/bodegaje/vitacura","1","No indexable","Canonicalizada","https://fletespro.cl/bodegaje","","index, follow","","","","",""
"https://fletespro.cl/bodegaje/maipu","1","No indexable","Canonicalizada","https://fletespro.cl/bodegaje","","index, follow","","","","",""
"https://fletespro.cl/bodegaje/san-miguel","1","No indexable","Canonicalizada","https://fletespro.cl/bodegaje","","index, follow","","","","",""
"https://fletespro.cl/bodegaje/providencia","1","No indexable","Canonicalizada","https://fletespro.cl/bodegaje","","index, follow","","","","",""
"https://fletespro.cl/bodegaje/santiago-centro","1","No indexable","Canonicalizada","https://fletespro.cl/bodegaje","","index, follow","","","","",""
"https://fletespro.cl/bodegaje/puente-alto","1","No indexable","Canonicalizada","https://fletespro.cl/bodegaje","","index, follow","","","","",""
"https://fletespro.cl/bodegaje/la-florida","1","No indexable","Canonicalizada","https://fletespro.cl/bodegaje","","index, follow","","","","",""
"https://fletespro.cl/bodegaje/lo-barnechea","1","No indexable","Canonicalizada","https://fletespro.cl/bodegaje","","index, follow","","","","",""
"https://fletespro.cl/bodegaje/las-condes","1","No indexable","Canonicalizada","https://fletespro.cl/bodegaje","","index, follow","","","","",""
"https://fletespro.cl/bodegaje/nunoa","1","No indexable","Canonicalizada","https://fletespro.cl/bodegaje","","index, follow","","","","",""
