Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
fletes paine,Informational,30,13,0.43,"Image, Image pack, Video, Video carousel, People also ask, Ads bottom"
camiones para fletes paine,,0,,0.00,
cuanto cuesta un flete de santiago a paine,,0,,0.00,
flete bins en paine,,0,,0.00,
flete camion pluma paine,,0,,0.00,
flete de santiago a paine,,0,,0.00,
flete maipu paine,,0,,0.00,
flete paine,,0,,0.00,
flete paine chile,,0,,0.00,
fletes santiago paine,,0,,0.00,
que valor tiene un flete de paine a puente alto,,0,,0.00,
