Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
fletes talca,Commercial,260,"0.66,1.00,0.66,0.81,0.66,0.66,1.00,0.66,1.00,0.81,0.66,0.53",20,0.34,0.47,"Image, Video, People also ask, Local pack, Related searches"
valor flete santiago talca,"Informational, Commercial",30,"0.33,0.11,0.11,0.11,0.11,0.56,0.44,0.22,0.11,1.00,0.33,0.11",12,0.42,0.77,"Sitelinks, AI Overview, People also ask, Related searches, Ads bottom"
cuanto sale un flete de talca a santiago,,20,"0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.78,0.11,0.00",,0.00,0.00,
cuanto vale un flete de santiago a talca,,20,"0.00,0.11,0.11,0.11,0.00,0.11,0.33,0.22,0.11,0.11,1.00,0.44",,0.27,0.90,
flete santiago talca,,20,"0.40,0.20,0.20,0.20,0.40,0.80,0.20,1.00,0.20,0.20,0.20,0.20",,0.50,0.60,
fletes baratos talca,,20,"0.20,0.80,0.20,0.20,0.20,0.40,0.40,0.20,1.00,0.80,0.20,0.20",,0.24,0.59,
flete mudanza talca,,10,"0.00,0.50,0.50,0.50,1.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00",,0.00,0.00,
fletes dentro de talca,,10,"0.33,0.67,0.33,0.00,0.33,1.00,1.00,0.33,0.33,0.00,0.33,0.00",,0.00,0.00,
fletes y mudanzas talca,,10,"0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,1.00,0.50,0.50",,0.00,0.50,
arriendo de camiones en talca fletes,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
busco flete barato para santiago talca,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
busco flete barato para viña santiago talca,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
busco flete desde viña del mar talca febrero 2018,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
busco flete desde viña delm mar talca febrero 2018,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
camion de fletes en talca,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
camion flete talca,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
camiones fletes talca,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
compr flete retono de talca santiago,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
