"Dirección","Tipo de contenido","Código de respuesta","Respuesta","Indexabilidad","Estado de indexabilidad","Título 1","Longitud del título 1","Ancho de píxeles del título 1","Meta description 1","Longitud de la meta description 1","Ancho de píxeles de la meta description 1","Meta Keywords 1","Longitud de meta keywords 1","H1-1","Longitud de H1-1","H2-1","Longitud de H2-1","H2-2","Longitud de H2-2","Meta robots 1","X-Robots-Tag 1","Meta Refresh 1","Elemento de enlace canónico 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Elemento de enlace amphtml","Tamaño (bytes)","Transferido (bytes)","Total transferido (bytes)","CO2 (mg)","Clasificación de huella de carbono","Recuento de palabras","Número de oraciones","Media de palabras por oración","Puntuación de facilidad de lectura de Flesch","Lectura","Proporción de texto","Nivel de profundidad","Profundidad de carpeta","Link Score","Enlaces internos","Enlaces internos únicos","Enlaces JS únicos","% del total","Enlaces salientes","Enlaces salientes únicos","Enlaces salientes JS únicos","Enlaces salientes externos","Enlaces salientes externos únicos","Enlaces salientes JS externos únicos","Coincidencia casi duplicada más cercana","Semiduplicados (N.º)","Errores ortográficos","Errores gramaticales","Hash","Tiempo de respuesta","Last Modified","URL de redirección","Tipo de redirección","Cookies","Language","Versión HTTP","Enlace alternativo móvil","Dirección semánticamente similar más cercana","Puntuación de similitud semántica","N.º semánticamente similares","Puntuación de relevancia semántica","Dirección codificada de URL","Marca temporal del rastreo"
"https://fletespro.cl/","text/html;charset=utf-8","200","OK","Indexable","","Fletes y Mudanzas | Cotización Online | RM y Regiones | FletesPro | FletesPro","77","677","Fletes y mudanzas en la RM y a regiones. Cotización online y servicio 24/7. Para la capital hay página dedicada. WhatsApp +56979796841","134","857","fletes y mudanzas, mudanzas y fletes, fletes región metropolitana, fletes a regiones, cotizar flete, transporte de carga Chile, mudanzas Santiago, mudanzas RM, fletes baratos, mudanzas económicas, calculadora flete, presupuesto mudanza, servicio de fletes, empresa de mudanzas","276","Fletes Santiago: económicos, rápidos y seguros desde $27.000","60","Cómo cotizar tu flete o mudanza – Calculadora para saber el precio","66","Calculadora de cotización (flete o mudanza)","43","index, follow","","","https://fletespro.cl/","","","","","","143870","29255","29255","11,207","","2088","392","5,327","32,067","Difícil","12,786","0","0","","364","111","0","94,870","192","99","0","4","3","0","","","","","31c2592454a29e5a497c2843cdb8f5f7","0,204","Mon, 27 Apr 2026 18:15:46 GMT","","","","es-CL","1.1","","","","","","https://fletespro.cl/","2026-05-12 20:43:44"
"https://fletespro.cl/login","","0","Bloqueado por robots.txt","No indexable","Bloqueado por robots.txt","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","0","","111","111","0","94,870","0","0","0","0","0","0","","","","","","","","","","","","None","","","","","","https://fletespro.cl/login","2026-05-12 20:43:45"
"https://fletespro.cl/fletes-quilicura","text/html;charset=utf-8","200","OK","Indexable","","Fletes Quilicura | Fletes baratos y económicos Quilicura | FletesPro | FletesPro","80","686","Fletes en Quilicura. Fletes baratos y económicos Quilicura. Flete Puente Alto a Quilicura, Quilicura a Manquehue, Chicureo, Macul, Maipú. Camión 6 metros. Servicio de flete Quilicura. Cotiza online. Presupuesto gratis. WhatsApp +56 9 7979 6841.","244","1517","fletes quilicura, fletes economicos quilicura, fletes baratos quilicura, flete puente alto a quilicura, flete quilicura a manquehue, flete chicureo a quilicura, camion 6 metros quilicura, servicio de flete quilicura, fletes pequeños quilicura","242","Fletes en Quilicura","19","Precios de fletes en Quilicura","30","Rutas de fletes desde y hacia Quilicura","39","index, follow","","","https://fletespro.cl/fletes-quilicura","","","","","","78734","16978","16978","6,504","","940","171","5,497","38,535","Difícil","13,454","1","0","","224","111","0","94,870","175","94","0","3","3","0","","","","","31aab88698bb1184576db2bb5a47ad5c","0,659","Mon, 27 Apr 2026 18:15:49 GMT","","","","es-CL","1.1","","","","","","https://fletespro.cl/fletes-quilicura","2026-05-12 20:43:45"
"https://fletespro.cl/terminos","text/html;charset=utf-8","404","Page not found: /terminos","No indexable","Error de cliente","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","0","","111","111","0","94,870","0","0","0","0","0","0","","","","","","0,882","","","","","","1.1","","","","","","https://fletespro.cl/terminos","2026-05-12 20:43:45"
"https://fletespro.cl/mudanzas-nunoa","text/html;charset=utf-8","200","OK","Indexable","","Mudanzas Ñuñoa | Mudanzas en Ñuñoa | FletesPro","46","451","Mudanzas en Ñuñoa. Cotiza online. Presupuesto gratis. Salvoconducto, ayudantes. Cobertura oriente Santiago. WhatsApp +56 9 7979 6841.","133","872","mudanzas Ñuñoa, mudanzas en Ñuñoa, empresa mudanzas Ñuñoa, servicio mudanzas Ñuñoa, fletes Ñuñoa","96","Mudanzas en Ñuñoa","17","Precios de mudanzas en Ñuñoa","28","Rutas que cubrimos desde Ñuñoa","30","index, follow","","","https://fletespro.cl/mudanzas-nunoa","","","","","","74975","16235","16235","6,219","","441","114","3,868","28,337","Muy difícil","10,207","1","0","","117","111","0","94,870","175","94","0","3","3","0","","","","","d4f64f1e94139f0b59a0f9f65c928b5c","0,939","Mon, 27 Apr 2026 18:16:00 GMT","","","","es-CL","1.1","","","","","","https://fletespro.cl/mudanzas-nunoa","2026-05-12 20:43:45"
"https://fletespro.cl/fletes-huechuraba","text/html;charset=utf-8","200","OK","Indexable","","Fletes Huechuraba | Flete camión pluma y mudanzas | Cotiza | FletesPro | FletesPro","82","735","Fletes en Huechuraba. Flete camión pluma Huechuraba para cargas pesadas y grúa. Fletes y mudanzas en Huechuraba y toda la RM. Precios desde $27.000. Cotiza por WhatsApp.","169","1113","fletes huechuraba, flete camion pluma huechuraba","48","Fletes en Huechuraba","20","Precios de fletes en Huechuraba","31","Rutas desde y hacia Huechuraba","30","index, follow","","","https://fletespro.cl/fletes-huechuraba","","","","","","77631","16779","16779","6,428","","755","146","5,171","32,946","Difícil","12,384","1","0","","224","111","0","94,870","175","94","0","3","3","0","","","","","12f3afb5ef841c668509650d2c29b8e6","0,983","Mon, 27 Apr 2026 18:15:45 GMT","","","","es-CL","1.1","","","","","","https://fletespro.cl/fletes-huechuraba","2026-05-12 20:43:45"
"https://fletespro.cl/fletes-buin","text/html;charset=utf-8","200","OK","Indexable","","Fletes Buin | Fletes y mudanzas Buin-Santiago | Precios | FletesPro | FletesPro","79","685","Fletes en Buin y fletes Buin Santiago. Fletes baratos y económicos, camión y rampla. Rutas Buin-Santiago, El Bosque-Buin, Buin-Chillán, El Quisco. Cotiza online. Presupuesto gratis.","181","1115","fletes buin, cuanto cuesta un flete de el bosque a buin, flete a buin chillan, flete camion buin, flete de buin a el quisco valor, flete de buin a santiago, flete de camiones con rampla en buin, flete de combustible buin, flete de combustible copec buin, flete en buin, fletes baratos buin, fletes buin santiago, fletes economicos en buin, fletes en buin economicas, fletes mudanzas buin santiago, fletes santiago buin, fletes y mudanzas en buin, servicio de fletes buin, valor del flete desde plaza sur hasta buin, valor del flete desde plaza sur asta buin","557","Fletes en Buin","14","Precios y valor del flete a Buin","32","Rutas desde y hacia Buin","24","index, follow","","","https://fletespro.cl/fletes-buin","","","","","","79759","17341","17341","6,643","","898","161","5,578","52,417","Bastante difícil","12,636","1","0","","224","111","0","94,870","175","94","0","3","3","0","","","","","439cb6bc113578d64b330bcef526085b","0,989","Mon, 27 Apr 2026 18:15:52 GMT","","","","es-CL","1.1","","","","","","https://fletespro.cl/fletes-buin","2026-05-12 20:43:45"
"https://fletespro.cl/blog/cuando-se-pierde-la-cadena-de-frio","text/html;charset=utf-8","200","OK","No indexable","Canonicalizada","Cuándo se pierde la cadena de frío: criterios y consecuencias | Blog FletesPro | FletesPro","90","781","¿Cuándo se pierde la cadena de frío? Te explicamos los criterios, las situaciones típicas, las consecuencias y cómo evitarlo en el transporte refrigerado.","154","935","fletes, mudanzas, Santiago, regiones Chile, fletes baratos, blog fletes","71","Cuándo se pierde la cadena de frío: criterios y consecuencias","61","Tabla de contenidos","19","¿Cuándo se pierde la cadena de frío?","36","index, follow","","","https://fletespro.clundefined/","","","","","","73174","18987","18987","7,274","","1608","219","7,342","40,810","Difícil","20,447","1","1","","37","10","0","8,550","225","103","0","2","2","0","","","","","fde844f51887c72f774ce3804b11cc08","0,214","Mon, 27 Apr 2026 18:16:17 GMT","","","","es-CL","1.1","","","","","","https://fletespro.cl/blog/cuando-se-pierde-la-cadena-de-frio","2026-05-12 20:43:46"
"https://fletespro.cl/fletes-lo-espejo","text/html;charset=utf-8","200","OK","Indexable","","Fletes Lo Espejo | Fletes económicos | Valor flete a Peñaflor | FletesPro | FletesPro","85","723","Fletes en Lo Espejo. Fletes económicos Lo Espejo. Valor flete Lo Espejo a Peñaflor. Fletes y mudanzas zona sur RM. Cotiza online. Presupuesto gratis. WhatsApp +56 9 7979 6841.","175","1113","fletes economicos lo espejo, valor flete lo espejo a peñaflor, fletes lo espejo, fletes en lo espejo, fletes y mudanzas lo espejo","129","Fletes en Lo Espejo","19","Precios de fletes en Lo Espejo","30","Rutas desde y hacia Lo Espejo","29","index, follow","","","https://fletespro.cl/fletes-lo-espejo","","","","","","77205","16708","16708","6,401","","852","150","5,680","41,402","Difícil","12,668","1","0","","224","111","0","94,870","175","94","0","3","3","0","","","","","23c0dd735d588110f05eecbd02628775","0,423","Mon, 27 Apr 2026 18:15:49 GMT","","","","es-CL","1.1","","","","","","https://fletespro.cl/fletes-lo-espejo","2026-05-12 20:43:46"
"https://fletespro.cl/mudanzas-providencia","text/html;charset=utf-8","200","OK","Indexable","","Mudanzas Providencia | Mudanzas en Providencia | FletesPro","58","543","Mudanzas en Providencia. Cotiza online. Presupuesto gratis. Salvoconducto, ayudantes. Zona oriente Santiago. WhatsApp +56 9 7979 6841.","134","873","mudanzas Providencia, mudanzas en Providencia, mudanzas Providencia precios, fletes Providencia, mudanzas zona oriente Santiago","127","Mudanzas en Providencia","23","Precios de mudanzas en Providencia","34","Rutas que cubrimos desde Providencia","36","index, follow","","","https://fletespro.cl/mudanzas-providencia","","","","","","75171","16241","16241","6,222","","443","114","3,886","18,031","Muy difícil","10,338","1","0","","117","111","0","94,870","175","94","0","3","3","0","","","","","1160d3959363eb4b643256e7fbb205c","0,446","Mon, 27 Apr 2026 18:16:01 GMT","","","","es-CL","1.1","","","","","","https://fletespro.cl/mudanzas-providencia","2026-05-12 20:43:46"
